lat,long
31.65094,-108.35155
31.65166,-108.35154
31.65237,-108.35146
31.65307,-108.35151
31.65366,-108.3519
31.65419,-108.3523
31.65464,-108.35287
31.65523,-108.35324
31.65576,-108.35378
31.6562,-108.35441
31.65666,-108.35502
31.65718,-108.3556
31.65772,-108.35613
31.6582,-108.35675
31.6586,-108.35745
31.65898,-108.35814
31.65941,-108.35878
31.65982,-108.35946
31.66008,-108.35982
31.66064,-108.36026
31.6612,-108.36076
31.66166,-108.36119
31.66225,-108.36166
31.66284,-108.36155
31.66348,-108.3619
31.66415,-108.36214
31.6646,-108.36278
31.66509,-108.36334
31.66545,-108.36404
31.66602,-108.36448
31.66669,-108.36462
31.6674,-108.36451
31.6681,-108.36442
31.66872,-108.36462
31.66928,-108.36514
31.66996,-108.36527
31.67062,-108.36536
31.67127,-108.36563
31.67191,-108.36595
31.6726,-108.36614
31.67326,-108.36646
31.67394,-108.36672
31.6746,-108.36701
31.6752,-108.36736
31.67578,-108.36785
31.67646,-108.36813
31.67698,-108.36866
31.67764,-108.36889
31.67816,-108.36915
31.67869,-108.3697
31.67921,-108.37029
31.67979,-108.37078
31.68038,-108.37117
31.68106,-108.37136
31.68134,-108.3721
31.68198,-108.37246
31.68253,-108.37275
31.683,-108.37333
31.68343,-108.37398
31.684,-108.37436
31.68467,-108.37453
31.68524,-108.37502
31.68584,-108.37544
31.68554,-108.37606
31.68603,-108.37668
31.6864,-108.37729
31.68689,-108.37791
31.68745,-108.37841
31.68811,-108.37875
31.68876,-108.37902
31.68938,-108.37943
31.68998,-108.37987
31.69026,-108.38062
31.69055,-108.38138
31.69078,-108.38214
31.69111,-108.3828
31.6914,-108.38355
31.69182,-108.38422
31.69229,-108.38485
31.69275,-108.38549
31.69321,-108.38613
31.69367,-108.38673
31.69416,-108.38734
31.69462,-108.38797
31.69508,-108.38862
31.69551,-108.38929
31.69602,-108.38988
31.69646,-108.39051
31.69704,-108.39102
31.69748,-108.39168
31.69779,-108.39235
31.69827,-108.39296
31.69876,-108.39357
31.69925,-108.39417
31.69966,-108.39487
31.70011,-108.39551
31.70061,-108.3961
31.70107,-108.39673
31.70156,-108.39733
31.70207,-108.39793
31.7025,-108.39858
31.7027,-108.39938
31.70319,-108.4
31.70363,-108.40065
31.7041,-108.40126
31.70463,-108.40182
31.70517,-108.40237
31.70571,-108.40293
31.70627,-108.40346
31.70692,-108.40382
31.70755,-108.40423
31.70813,-108.40473
31.70875,-108.40515
31.70935,-108.40561
31.70997,-108.40602
31.71052,-108.4063
31.71119,-108.40659
31.71187,-108.40682
31.71257,-108.40698
31.71321,-108.40734
31.71382,-108.40779
31.71442,-108.40823
31.715,-108.40875
31.71557,-108.40925
31.71625,-108.4095
31.71694,-108.40975
31.71764,-108.40994
31.71836,-108.40999
31.71908,-108.40992
31.7198,-108.4098
31.7205,-108.40985
31.72121,-108.40998
31.72192,-108.41017
31.72262,-108.41032
31.72333,-108.41043
31.72403,-108.41044
31.72472,-108.41033
31.72542,-108.41018
